"Reaction"	"Enzymes of a reaction"
FUC4NACTRANS-RXN	GCQD-3911-MONOMER
1.13.11.16-RXN	GCQD-488-MONOMER
RXN-3341	""
RXN0-7068	CPLXCQD-10460
GARTRANSFORMYL2-RXN	GCQD-2020-MONOMER
RXN-7241	GCQD-1183-MONOMER
RXN0-7160	GCQD-4226-MONOMER // GCQD-2691-MONOMER // GCQD-4513-MONOMER // GCQD-3635-MONOMER // GCQD-4145-MONOMER
GLUCONOLACT-RXN	""
2.7.10.1-RXN	GCQD-2174-MONOMER // GCQD-1184-MONOMER
ALANINE--TRNA-LIGASE-RXN	GCQD-2769-MONOMER
