repl,seqtype,line,target_id,est_counts,eff_length,length,tpm,subgroup,mix1.conc.attomols.ul,mix2.conc.attomols.ul,expected.fc.ratio,log2(mix1.over.mix2),dilution,amount.added,molecules_of_seq
rep2,ribo,Ara-1,ERC_00071,9,618,642,2.0024123656598665,C,58.59375,87.890625,0.67,-0.58,10,0.498,1757241.9246093754
rep2,ribo,Ara-1,ERC_00073,0,579,603,0,B,0.91552734,0.91552734,1,0,10,0.498,27456.904959558007
rep2,ribo,Ara-1,ERC_00074,180,498,522,49.698427388666566,C,15000,22500,0.67,-0.58,10,0.498,449853932.7000001
rep2,ribo,Ara-1,ERC_00075,0,999,1023,0,B,0.01430512,0.01430512,1,0,10,0.498,429.01429931636164
rep2,ribo,Ara-1,ERC_00076,19,618,642,4.227314994170829,C,234.375,351.5625,0.67,-0.58,10,0.498,7028967.698437502
rep2,ribo,Ara-1,ERC_00077,0,249,273,0,D,3.66210938,7.32421875,0.5,-1,10,0.498,109827.62043803725
rep2,ribo,Ara-1,ERC_00078,2,969,993,0.28379562939520636,D,29.296875,58.59375,0.5,-1,10,0.498,878620.9623046877
rep2,ribo,Ara-1,ERC_00079,0,620,644,0,D,58.59375,117.1875,0.5,-1,10,0.498,1757241.9246093754
rep2,ribo,Ara-1,ERC_00081,0,510,534,0,D,0.22888184,0.45776367,0.5,-1,10,0.498,6864.226389840811
rep2,ribo,Ara-1,ERC_00083,0,998,1022,0,A,0.02861023,0.00715256,4,2,10,0.498,858.0282987301014
rep2,ribo,Ara-1,ERC_00084,7,970,994,0.9922606980348893,C,29.296875,43.9453125,0.67,-0.58,10,0.498,878620.9623046877
rep2,ribo,Ara-1,ERC_00085,0,820,844,0,A,7.32421875,1.83105469,4,2,10,0.498,219655.24057617193
rep2,ribo,Ara-1,ERC_00086,0,996,1020,0,D,0.11444092,0.22888184,0.5,-1,10,0.498,3432.1131949204055
rep2,ribo,Ara-1,ERC_00092,19,1100,1124,2.3749824239977935,A,234.375,58.59375,4,2,10,0.498,7028967.698437502
rep2,ribo,Ara-1,ERC_00095,4,497,521,1.1066316494324147,A,117.1875,29.296875,4,2,10,0.498,3514483.849218751
rep2,ribo,Ara-1,ERC_00096,1046,1083,1107,132.80141794488318,B,15000,15000,1,0,10,0.498,449853932.7000001
rep2,ribo,Ara-1,ERC_00097,0,499,523,0,A,0.45776367,0.11444092,4,2,10,0.498,13728.452479779004
rep2,ribo,Ara-1,ERC_00098,0,1119,1143,0,C,0.05722046,0.08583069,0.67,-0.58,10,0.498,1716.0565974602027
rep2,ribo,Ara-1,ERC_00099,0,1326,1350,0,C,14.6484375,21.9726563,0.67,-0.58,10,0.498,439310.48115234385
