NAME,ASSOCIATION,EXPERIMENT,line,repl,LOCATION,POSITION,SHAPE,SHAPE.area,SHAPE.length,SHAPE.perimeter,SHAPE.width.mean,ZSCORE,volume,mutator,age
b144,0,Lenski strains,Ara-1,1,(x=116.17 y=40.86),5,1,3.8315406,4.826659,10.551941,0.8323118,6.1114197,1.750722621035778,FALSE,young
b145,0,Lenski strains,Ara-1,1,(x=116.12 y=32.42),5,1,3.3358188,3.9253557,8.815499,0.9014827,6.219568,1.6702921219097695,FALSE,young
b146,0,Lenski strains,Ara-1,1,(x=116.33 y=118.86),5,1,2.7459438,2.9283805,6.9163957,1.0423807,6.2724423,1.6660147876511564,FALSE,young
b147,0,Lenski strains,Ara-1,1,(x=121.78 y=100.76),5,1,3.009875,3.5621786,8.056765,0.91103756,6.125235,1.548056749368997,FALSE,young
b148,0,Lenski strains,Ara-1,1,(x=123.74 y=56.23),5,1,3.7547812,4.9912724,10.87655,0.7809208,5.8688564,1.5937634966732954,FALSE,young
b149,0,Lenski strains,Ara-1,1,(x=126.41 y=68.55),5,1,3.599372,4.5726,10.020866,0.827891,6.0152116,1.6409983981914715,FALSE,young
b151,0,Lenski strains,Ara-1,1,(x=3.01 y=77.97),5,1,2.5270448,2.9885423,6.9254236,0.92714214,6.2544603,1.345087916556016,FALSE,young
b152,0,Lenski strains,Ara-1,1,(x=5.79 y=77.24),5,1,2.491643,2.7780063,6.6245666,0.97913873,6.2221003,1.3945057444408497,FALSE,young
b153,0,Lenski strains,Ara-1,1,(x=20.60 y=111.79),5,1,3.3039618,3.4148974,7.9460564,1.0386147,6.470028,1.9287911842019627,FALSE,young
b154,0,Lenski strains,Ara-1,1,(x=23.15 y=113.39),5,1,3.0242438,3.0137856,7.2002034,1.0829402,6.4074655,1.850631400815907,FALSE,young
b155,0,Lenski strains,Ara-1,1,(x=25.59 y=86.42),5,1,3.2065,3.1644177,7.438947,1.1409916,6.254969,2.1570356439009637,FALSE,young
b156,0,Lenski strains,Ara-1,1,(x=26.52 y=89.45),5,1,2.7645664,3.048115,7.110653,1.0029248,6.216411,1.6053388336046668,FALSE,young
b157,0,Lenski strains,Ara-1,1,(x=31.22 y=98.85),5,1,2.3632812,2.6134326,6.3631015,0.9880643,6.5125885,1.33591966394325,FALSE,young
b158,0,Lenski strains,Ara-1,1,(x=33.56 y=100.17),5,1,2.4587579,2.6747532,6.520416,0.99941254,6.4518642,1.3988525113489325,FALSE,young
b159,0,Lenski strains,Ara-1,1,(x=33.24 y=53.30),5,1,3.4514306,3.2317126,7.682646,1.18913,6.1327167,2.3927097843866316,FALSE,young
b160,0,Lenski strains,Ara-1,1,(x=35.75 y=55.20),5,1,3.0311446,3.06558,7.2987504,1.084471,6.1063304,1.8877616638250099,FALSE,young
b161,0,Lenski strains,Ara-1,1,(x=37.01 y=10.12),5,1,2.0157018,2.2546887,5.574198,1.0359343,6.4011073,1.2669212959012763,FALSE,young
b162,0,Lenski strains,Ara-1,1,(x=39.10 y=10.81),5,1,2.6544256,2.5123613,6.432046,1.174887,6.2388873,1.8158204969832663,FALSE,young
b163,0,Lenski strains,Ara-1,1,(x=46.07 y=103.53),5,1,2.659542,3.0960205,7.199728,0.9261723,6.4273024,1.3905481316301214,FALSE,young
b164,0,Lenski strains,Ara-1,1,(x=48.39 y=105.44),5,1,2.462539,2.757538,6.575021,0.9765916,6.342005,1.377038545800548,FALSE,young
b165,0,Lenski strains,Ara-1,1,(x=47.47 y=35.30),5,1,3.724862,3.8435152,8.713847,1.0571296,6.135834,2.248970154266518,FALSE,young
b166,0,Lenski strains,Ara-1,1,(x=50.34 y=37.43),5,1,3.0733054,3.1269555,7.352848,1.0933071,6.0859437,1.9570623407678525,FALSE,young
b167,0,Lenski strains,Ara-1,1,(x=55.82 y=35.79),5,1,2.4751117,2.8999429,6.7776055,0.9322728,6.25953,1.3196965941193413,FALSE,young
b168,0,Lenski strains,Ara-1,1,(x=58.41 y=36.88),5,1,2.518407,2.8037434,6.6173863,0.99693865,6.249703,1.4590620218108181,FALSE,young
b169,0,Lenski strains,Ara-1,1,(x=59.28 y=43.20),5,1,2.2281961,2.4086165,5.9444137,1.049882,6.4146686,1.3901038918648536,FALSE,young
b170,0,Lenski strains,Ara-1,1,(x=61.67 y=44.06),5,1,2.3469274,2.6427197,6.3856287,0.97212505,6.1529336,1.307657451920809,FALSE,young
b171,0,Lenski strains,Ara-1,1,(x=72.57 y=21.92),5,1,3.000091,3.5298622,7.9949355,0.9166131,6.1949997,1.5528463781441917,FALSE,young
